;;git;sncf
2011-01;;0.6295217285748969;0.5984462248118475
2011-02;;0.6415735794074794;0.5881495871782418
2011-03;;0.6241015812170579;0.6006229036895064
2011-04;;0.64;0.6138095238095238
2011-05;;0.6347619047619047;0.6038095238095238
2011-06;;0.616904761904762;0.5966666666666667
2011-07;;0.6185714285714285;0.6028571428571429
2011-08;;0.6159523809523809;0.5928571428571429
2011-09;;0.6204761904761905;0.6042857142857143
2011-10;;0.6285714285714286;0.606904761904762
2011-11;;0.6364285714285715;0.5978571428571429
2011-12;;0.6188095238095238;0.6204761904761905
2012-01;;0.6138095238095238;0.6078571428571429
2012-02;;0.6164285714285714;0.605
2012-03;;0.6033333333333334;0.6090476190476191
2012-04;;0.6259523809523809;0.616904761904762
2012-05;;0.6178571428571429;0.6147619047619047
2012-06;;0.6188095238095238;0.6178571428571429
2012-07;;0.6164285714285714;0.6121428571428571
2012-08;;0.6102380952380952;0.6004761904761905
2012-09;;0.6047619047619047;0.6004761904761905
2012-10;;0.6042857142857143;0.6004761904761905
2012-11;;0.6138095238095238;0.6092857142857143
2012-12;;0.6047619047619047;0.6030952380952381
2013-01;;0.589047619047619;0.5983333333333334
2013-02;;0.5842857142857143;0.6104761904761905
2013-03;;0.584047619047619;0.5978571428571429
2013-04;;0.5742857142857143;0.6026190476190476
2013-05;;0.5873809523809523;0.5980952380952381
2013-06;;0.579047619047619;0.5919047619047619
2013-07;;0.565952380952381;0.5911904761904762
2013-08;;0.5788095238095238;0.5892857142857143
2013-09;;0.5702380952380952;0.6
2013-10;;0.5597619047619048;0.5895238095238096
2013-11;;0.5533333333333333;0.5685714285714286
2013-12;;0.564047619047619;0.5783333333333334
2014-01;;0.5604761904761905;0.574047619047619
2014-02;;0.5521428571428572;0.580952380952381
2014-03;;0.5521428571428572;0.5888095238095238
2014-04;;0.5692857142857143;0.5916666666666667
2014-05;;0.5597619047619048;0.5802380952380952
2014-06;;0.5602380952380952;0.5978571428571429
2014-07;;0.5435714285714286;0.5766666666666667
2014-08;;0.5638095238095238;0.5902380952380952
2014-09;;0.5452380952380952;0.5742857142857143
2014-10;;0.5657142857142857;0.5785714285714286
2014-11;;0.5652380952380952;0.5857142857142857
2014-12;;0.5414285714285715;0.585952380952381
2015-01;;0.5492857142857143;0.5823809523809523
2015-02;;0.5614285714285714;0.5738095238095238
2015-03;;0.5695238095238095;0.5819047619047619
2015-04;;0.5776190476190476;0.5826190476190476
2015-05;;0.5638095238095238;0.5876190476190476
2015-06;;0.5552380952380952;0.5861904761904762
2015-07;;0.5776190476190476;0.5907142857142857
2015-08;;0.5697619047619048;0.5904761904761905
2015-09;;0.5673809523809524;0.5957142857142858
2015-10;;0.5714285714285714;0.5754761904761905
2015-11;;0.5716666666666667;0.5778571428571428
2015-12;;0.5692857142857143;0.5842857142857143
2016-01;;0.5766666666666667;0.6052380952380952
2016-02;;0.5535714285714286;0.5795238095238096
2016-03;;0.5628571428571428;0.5723809523809524
2016-04;;0.5607142857142857;0.575
2016-05;;0.5645238095238095;0.5738095238095238
2016-06;;0.5680952380952381;0.5797619047619048
2016-07;;0.5576190476190476;0.5766666666666667
2016-08;;0.5638095238095238;0.5666666666666667
2016-09;;0.5457142857142857;0.5766666666666667
2016-10;;0.5671428571428572;0.5902380952380952
2016-11;;0.5588095238095238;0.5788095238095238
2016-12;;0.5652380952380952;0.5928571428571429
2017-01;;0.5523809523809524;0.585
2017-02;;0.5580952380952381;0.5666666666666667
2017-03;;0.5680952380952381;0.5730952380952381
2017-04;;0.5566666666666666;0.5721428571428572
2017-05;;0.5747619047619048;0.5645238095238095
2017-06;;0.5747619047619048;0.585
2017-07;;0.5635714285714286;0.5752380952380952
2017-08;;0.5654761904761905;0.5766666666666667
2017-09;;0.5678571428571428;0.5726190476190476
2017-10;;0.5514285714285714;0.5733333333333334
2017-11;;0.5685714285714286;0.5747619047619048
2017-12;;0.5835714285714285;0.5792857142857143
2018-01;;0.5773809523809523;0.5821428571428572
2018-02;;0.5704761904761905;0.5676190476190476
2018-03;;0.5607142857142857;0.5833333333333334
2018-04;;0.5692857142857143;0.565952380952381
2018-05;;0.5766666666666667;0.5621428571428572
2018-06;;0.5788095238095238;0.5747619047619048
2018-07;;0.5761904761904761;0.5704761904761905
2018-08;;0.5707142857142857;0.575952380952381
2018-09;;0.5804761904761905;0.5671428571428572
2018-10;;0.5735714285714286;0.5657142857142857
2018-11;;0.5704761904761905;0.5519047619047619
2018-12;;0.5661904761904762;0.5564285714285714
